0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
13.875000000000002,12.0,10.875000000000002,12.375,13.5,14.250000000000005,15.750000000000004,17.250000000000004,17.625000000000007,19.12500000000001,11.625,10.5,9.75,10.875000000000002,12.000000000000002,13.125000000000004,14.250000000000005,15.375000000000005,16.500000000000007,17.625000000000007,11.25,9.0,8.625,10.875000000000002,12.0,12.000000000000002,14.250000000000004,16.5,15.375000000000005,17.625000000000007,9.0,7.5,7.5,12.0,10.5,10.875000000000002,15.750000000000002,15.375,14.250000000000005,17.625000000000004,6.749999999999999,6.0,6.375000000000001,8.625,9.0,9.75,12.0,13.125000000000002,13.125000000000004,15.375000000000004,4.5,4.5,5.25,6.375000000000001,7.5,8.625,9.75,10.875000000000002,12.000000000000002,13.125000000000004,2.25,3.0,4.125,6.375,7.5,8.625,10.875000000000002,12.750000000000002,13.125,15.374999999999998,0.0,1.5,3.0,4.5,6.0,7.5,9.0,10.5,12.0,13.499999999999998,2.25,3.3749999999999996,4.125,5.25,6.375000000000001,7.5,8.625,9.75,10.875000000000002,12.000000000000002,4.5,6.75,5.25,6.75,10.125000000000002,8.625,10.125000000000002,12.0,12.000000000000002,14.250000000000004
12.375,10.5,9.375,10.875,12.0,12.750000000000004,14.250000000000004,15.750000000000002,16.125000000000007,17.625000000000007,10.125000000000002,9.0,8.25,9.375,10.5,11.625,12.750000000000004,13.875000000000004,15.000000000000004,16.125000000000007,9.75,7.5,7.125,9.375,10.5,10.5,12.750000000000002,15.0,13.875000000000004,16.125000000000004,7.5,6.0,6.0,10.5,9.0,9.375,14.25,13.875,12.750000000000004,16.125000000000004,6.375,4.5,4.875,7.125,7.5,8.25,10.5,11.625,11.625,13.875000000000002,4.125,3.0,3.75,4.875,6.0,7.125,8.25,9.375,10.5,11.625,3.75,1.5,2.625,4.875,6.0,7.125,9.375,11.250000000000002,11.625,13.875000000000002,6.0,0.0,1.5,3.0,4.5,6.0,7.5,9.0,10.5,12.0,4.875,3.75,2.625,3.75,4.875,6.0,7.125,8.25,9.375,10.5,6.75,5.25,3.75,5.25,8.625,7.125,8.625,10.5,10.5,12.750000000000002
11.25,9.375,7.875,9.375,10.499999999999998,11.250000000000002,12.750000000000002,14.25,14.625000000000004,16.125000000000004,9.0,7.875,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,9.75,7.5,5.625,7.875,9.0,9.0,11.25,13.499999999999998,12.375000000000004,14.625000000000004,7.5,6.0,4.5,9.0,7.5,7.875,12.75,12.375,11.250000000000002,14.625000000000002,6.749999999999999,4.875,3.3749999999999996,5.625,6.0,6.749999999999999,9.0,10.125000000000002,10.125000000000002,12.375,4.5,3.3749999999999996,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,5.625,3.3749999999999996,1.125,3.3749999999999996,4.5,5.625,7.875,9.75,10.125000000000002,12.375,5.625,3.75,0.0,1.5,3.0,4.5,6.0,7.5,9.0,10.499999999999998,3.3749999999999996,2.25,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,5.25,3.75,2.25,3.75,7.125,5.625,7.125,9.0,9.0,11.25
15.000000000000002,13.125000000000002,11.625,13.125000000000002,12.0,10.875000000000002,12.375,13.875,14.250000000000005,15.750000000000004,12.750000000000004,11.625,10.5,11.625,10.5,9.75,10.875000000000002,12.000000000000002,13.125000000000004,14.250000000000005,13.499999999999998,11.25,9.375,11.250000000000002,9.0,8.625,10.875000000000002,13.125000000000002,12.000000000000002,14.250000000000004,11.25,9.75,8.25,9.0,7.5,7.5,12.375,12.0,10.875000000000002,14.25,10.5,8.625,7.125,8.25,6.0,6.375000000000001,8.625,9.75,9.75,12.0,8.25,7.125,6.0,5.625,4.5,5.25,6.375000000000001,7.5,8.625,9.75,9.0,6.75,4.875,5.25,3.0,4.125,6.375,8.25,8.625,10.875000000000002,7.125,5.25,3.75,0.0,1.5,3.0,4.5,6.0,7.5,9.0,4.875,3.75,2.625,1.5,2.625,3.75,4.875,6.0,7.125,8.25,6.75,5.25,3.75,3.0,6.375000000000001,4.875,6.375000000000001,8.25,8.25,10.5
14.250000000000004,12.375,10.875000000000002,12.375,10.5,9.375,10.875,12.374999999999998,12.750000000000004,14.250000000000004,12.000000000000002,10.875000000000002,9.75,10.125000000000002,9.0,8.25,9.375,10.5,11.625,12.750000000000004,12.750000000000002,10.5,8.625,9.75,7.5,7.125,9.375,11.625,10.5,12.750000000000002,10.5,9.0,7.5,7.5,6.0,6.0,10.875,10.5,9.375,12.750000000000002,9.75,7.875000000000001,6.375000000000001,6.749999999999999,4.5,4.875,7.125,8.25,8.25,10.5,7.5,6.375000000000001,5.25,4.125,3.0,3.75,4.875,6.0,7.125,8.25,9.75,8.25,6.0,3.75,1.5,2.625,4.875,6.749999999999999,7.125,9.375,10.5,8.625,7.125,5.25,0.0,1.5,3.0,4.5,6.0,7.5,8.25,7.125,6.0,4.875,3.75,2.625,3.75,4.875,6.0,7.125,10.125000000000002,8.625,7.125,6.375000000000001,5.25,3.75,5.25,7.125,7.125,9.375
14.625000000000004,12.750000000000002,11.250000000000002,12.750000000000002,9.375,7.875,9.375,10.875,11.250000000000002,12.750000000000002,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,13.125,10.875,9.0,9.75,7.5,5.625,7.875,10.125000000000002,9.0,11.25,10.875,9.375,7.875,7.5,6.0,4.5,9.375,9.0,7.875,11.25,10.125000000000002,8.25,6.749999999999999,7.125,4.875,3.3749999999999996,5.625,6.749999999999999,6.749999999999999,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,10.125000000000002,8.625,6.749999999999999,5.625,3.3749999999999996,1.125,3.3749999999999996,5.25,5.625,7.875,9.0,7.125,5.625,7.125,3.75,0.0,1.5,3.0,4.5,6.0,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,2.25,3.3749999999999996,4.5,5.625,8.625,7.125,5.625,4.875,3.75,2.25,3.75,5.625,5.625,7.875
18.375000000000007,16.500000000000004,15.000000000000004,16.500000000000004,13.125000000000002,11.625,13.125000000000002,13.125000000000002,10.875000000000002,12.375,16.125000000000007,15.000000000000004,13.875000000000004,12.750000000000004,11.625,10.5,11.625,10.875000000000002,9.75,10.875000000000002,16.875,14.625000000000002,12.750000000000004,13.499999999999998,11.25,9.375,11.625,10.875000000000002,8.625,10.875000000000002,14.625000000000002,13.125000000000002,11.625,11.25,9.75,8.25,10.5,9.0,7.5,10.875000000000002,13.875000000000002,12.0,10.5,10.875000000000002,8.625,7.125,9.375,8.25,6.375000000000001,8.625,11.625,10.5,9.375,8.25,7.125,6.0,7.125,6.0,5.25,6.375000000000001,12.375,10.125000000000002,8.25,9.0,6.75,4.875,6.0,3.75,4.125,6.375,10.5,8.625,7.125,8.625,5.25,3.75,0.0,1.5,3.0,4.5,8.25,7.125,6.0,4.875,3.75,2.625,1.5,2.625,3.75,4.875,10.125000000000002,8.625,7.125,6.375000000000001,5.25,3.75,3.0,4.875,4.875,7.125
19.12500000000001,17.250000000000007,15.750000000000007,17.250000000000007,13.875000000000002,12.375000000000004,13.875000000000002,11.625,9.375,10.875,16.875000000000007,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.5,9.375,8.25,9.375,17.625,15.375,13.500000000000004,14.249999999999998,11.999999999999996,10.125000000000002,11.625,9.375,7.125,9.375,15.375,13.875000000000002,12.375000000000004,11.999999999999996,10.499999999999998,9.0,9.0,7.5,6.0,9.375,14.625000000000004,12.750000000000002,11.250000000000002,11.625,9.375,7.875,9.0,6.749999999999999,4.875,7.125,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.75,4.875,14.249999999999998,11.999999999999996,10.125000000000002,10.499999999999998,8.625,6.749999999999999,4.5,2.25,2.625,4.875,12.375,10.499999999999998,9.0,10.499999999999998,7.125,5.625,6.0,0.0,1.5,3.0,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,2.625,3.75,11.999999999999996,10.499999999999998,9.0,8.25,7.125,5.625,4.875,4.5,3.75,6.0
18.000000000000004,16.125000000000004,14.625000000000004,16.125000000000004,12.750000000000002,11.250000000000002,12.750000000000002,10.125000000000002,7.875,9.375,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,7.875,16.5,14.25,12.375000000000004,13.125,10.875,9.0,10.125000000000002,7.875,5.625,7.875,14.25,12.750000000000002,11.250000000000002,10.875,9.375,7.875,7.5,6.0,4.5,7.875,13.5,11.625,10.125000000000002,10.5,8.25,6.749999999999999,7.875,5.625,3.3749999999999996,5.625,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,3.3749999999999996,13.5,11.999999999999996,10.125000000000002,9.375,8.625,6.749999999999999,5.625,3.3749999999999996,1.125,3.3749999999999996,12.375,10.499999999999998,9.0,10.499999999999998,7.125,5.625,7.125,4.5,0.0,1.5,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,2.25,11.999999999999996,10.499999999999998,9.0,8.25,7.125,5.625,4.875,3.75,2.25,4.5
21.37500000000001,19.500000000000007,18.000000000000007,19.500000000000007,16.125000000000004,14.625000000000004,16.125000000000004,13.5,11.250000000000002,12.750000000000002,19.12500000000001,18.000000000000007,16.875000000000007,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,11.250000000000002,19.875,17.625000000000004,15.750000000000007,16.5,14.25,12.375000000000004,13.499999999999998,11.25,9.0,11.25,17.625000000000004,16.125000000000004,14.625000000000004,14.25,12.750000000000002,11.250000000000002,10.875,9.375,7.875,9.0,16.875000000000004,15.000000000000002,13.500000000000004,13.875,11.625,10.125000000000002,11.25,9.0,6.749999999999999,6.749999999999999,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,16.5,14.25,12.375000000000004,12.750000000000002,10.875,9.0,9.0,6.749999999999999,4.5,2.25,14.625000000000004,12.750000000000002,11.250000000000002,12.750000000000002,9.375,7.875,9.375,6.749999999999999,4.5,0.0,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,14.25,12.750000000000002,11.250000000000002,10.499999999999998,9.375,7.875,7.125,6.0,4.5,4.5
14.625000000000004,12.750000000000002,11.250000000000002,12.750000000000002,13.875000000000002,14.625000000000004,16.125000000000004,17.625000000000004,18.000000000000007,19.500000000000007,12.375000000000004,11.250000000000002,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,16.875000000000007,18.000000000000007,12.375,10.125000000000002,9.0,11.25,12.374999999999998,12.375000000000004,14.625000000000004,16.875000000000004,15.750000000000007,18.000000000000004,10.125000000000002,8.625000000000002,7.875,12.374999999999998,10.875,11.250000000000002,16.125000000000004,15.750000000000002,14.625000000000004,18.000000000000004,9.0,7.125000000000002,6.749999999999999,9.0,9.375,10.125000000000002,12.375,13.5,13.500000000000004,15.750000000000004,6.749999999999999,5.625000000000001,5.625,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,4.5,4.125,4.5,6.749999999999999,7.5,7.875,10.125000000000002,12.0,11.250000000000002,13.5,2.25,2.625,3.3749999999999996,4.875,6.0,6.749999999999999,8.25,9.75,10.125000000000002,11.625,0.0,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,2.25,4.875,3.3749999999999996,4.875,8.25,6.749999999999999,8.25,10.125000000000002,10.125000000000002,12.375
13.5,11.625,10.125000000000002,11.625,12.750000000000002,13.500000000000004,15.000000000000002,16.5,16.875000000000007,18.375000000000007,11.250000000000002,10.125000000000002,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,16.875000000000007,11.250000000000002,9.0,7.875,10.125000000000002,11.25,11.250000000000002,13.5,15.750000000000002,14.625000000000004,16.875000000000004,9.0,7.5,6.749999999999999,11.25,9.75,10.125000000000002,15.0,14.625000000000002,13.500000000000004,16.875000000000004,7.875,6.0,5.625,7.875,8.25,9.0,11.25,12.375,12.375000000000004,14.625000000000004,5.625,4.5,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,5.25,3.0,3.3749999999999996,5.625,6.375000000000001,6.749999999999999,9.0,10.875000000000002,10.125000000000002,12.375,3.3749999999999996,1.5,2.25,3.75,4.875,5.625,7.125,8.625,9.0,10.499999999999998,1.125,0.0,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,3.3749999999999996,3.75,2.25,3.75,7.125,5.625,7.125,9.0,9.0,11.25
12.375,10.499999999999998,9.0,10.499999999999998,11.625,12.375000000000004,13.875000000000002,15.375,15.750000000000007,17.250000000000007,10.125000000000002,9.0,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,10.875000000000002,8.625,6.749999999999999,9.0,10.125000000000002,10.125000000000002,12.375,14.625000000000002,13.500000000000004,15.750000000000004,8.625,7.125,5.625,10.125000000000002,8.625,9.0,13.875,13.499999999999998,12.375000000000004,15.750000000000002,7.875,6.0,4.5,6.749999999999999,7.125,7.875,10.125000000000002,11.25,11.250000000000002,13.5,5.625,4.5,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,6.375000000000001,4.125,2.25,4.5,5.25,5.625,7.875,9.75,9.0,11.25,4.5,2.625,1.125,2.625,3.75,4.5,6.0,7.5,7.875,9.375,2.25,1.125,0.0,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,4.125,2.625,1.125,2.625,6.0,4.5,6.0,7.875,7.875,10.125000000000002
13.5,11.625,10.125000000000002,11.625,12.750000000000002,11.250000000000002,12.750000000000002,14.25,14.625000000000004,16.125000000000004,11.250000000000002,10.125000000000002,9.0,10.125000000000002,11.250000000000002,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,12.0,9.75,7.875,10.125000000000002,10.125000000000002,9.0,11.25,13.499999999999998,12.375000000000004,14.625000000000004,9.75,8.25,6.749999999999999,10.125000000000002,8.625000000000002,7.875,12.75,12.375,11.250000000000002,14.625000000000002,9.0,7.125,5.625,7.875,7.125000000000002,6.749999999999999,9.0,10.125000000000002,10.125000000000002,12.375,6.749999999999999,5.625,4.5,5.625,5.625000000000001,5.625,6.749999999999999,7.875,9.0,10.125000000000002,7.5,5.25,3.3749999999999996,5.625,4.125,4.5,6.749999999999999,8.625,7.875,10.125000000000002,5.625,3.75,2.25,3.75,2.625,3.3749999999999996,4.875,6.375000000000001,6.749999999999999,8.25,3.3749999999999996,2.25,1.125,0.0,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,5.25,3.75,2.25,1.5,4.875,3.3749999999999996,4.875,6.749999999999999,6.749999999999999,9.0
14.625000000000004,12.750000000000002,11.250000000000002,12.750000000000002,11.625,10.125000000000002,11.625,13.125,13.500000000000004,15.000000000000002,12.375000000000004,11.250000000000002,10.125000000000002,11.250000000000002,10.125000000000002,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,13.125,10.875,9.0,11.25,9.0,7.875,10.125000000000002,12.375,11.250000000000002,13.5,10.875,9.375,7.875,9.0,7.5,6.749999999999999,11.625,11.25,10.125000000000002,13.499999999999998,10.125000000000002,8.25,6.749999999999999,8.25,6.0,5.625,7.875,9.0,9.0,11.25,7.875,6.749999999999999,5.625,5.625,4.5,4.5,5.625,6.749999999999999,7.875,9.0,8.625,6.375000000000001,4.5,5.25,3.0,3.3749999999999996,5.625,7.5,6.749999999999999,9.0,6.749999999999999,4.875,3.3749999999999996,4.875,1.5,2.25,3.75,5.25,5.625,7.125,4.5,3.3749999999999996,2.25,1.125,0.0,1.125,2.25,3.3749999999999996,4.5,5.625,6.375000000000001,4.875,3.3749999999999996,2.625,3.75,2.25,3.75,5.625,5.625,7.875
15.750000000000004,13.875000000000002,12.375000000000004,13.875000000000002,10.499999999999998,9.0,10.499999999999998,11.999999999999996,12.375000000000004,13.875000000000002,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,14.249999999999998,11.999999999999996,10.125000000000002,10.875000000000002,8.625,6.749999999999999,9.0,11.25,10.125000000000002,12.375,11.999999999999996,10.499999999999998,9.0,8.625,7.125,5.625,10.499999999999998,10.125000000000002,9.0,12.375,11.25,9.375,7.875,8.25,6.0,4.5,6.749999999999999,7.875,7.875,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.75,7.5,5.625,6.375000000000001,4.125,2.25,4.5,6.375000000000001,5.625,7.875,7.875,6.0,4.5,6.0,2.625,1.125,2.625,4.125,4.5,6.0,5.625,4.5,3.3749999999999996,2.25,1.125,0.0,1.125,2.25,3.3749999999999996,4.5,7.5,6.0,4.5,3.75,2.625,1.125,2.625,4.5,4.5,6.749999999999999
16.875000000000004,15.000000000000002,13.500000000000004,15.000000000000002,11.625,10.125000000000002,11.625,13.125,11.250000000000002,12.750000000000002,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,10.125000000000002,11.250000000000002,10.125000000000002,11.250000000000002,15.374999999999998,13.125,11.250000000000002,12.0,9.75,7.875,10.125000000000002,11.25,9.0,11.25,13.125,11.625,10.125000000000002,9.75,8.25,6.749999999999999,10.875,9.375,7.875,11.25,12.375,10.499999999999998,9.0,9.375,7.125,5.625,7.875,9.0,6.749999999999999,9.0,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,5.625,6.749999999999999,5.625,6.749999999999999,10.875000000000002,8.625,6.749999999999999,7.5,5.25,3.3749999999999996,5.625,5.625,4.5,6.749999999999999,9.0,7.125,5.625,7.125,3.75,2.25,3.75,3.3749999999999996,3.3749999999999996,4.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,0.0,1.125,2.25,3.3749999999999996,8.625,7.125,5.625,4.875,3.75,2.25,1.5,3.3749999999999996,3.3749999999999996,5.625
18.000000000000004,16.125000000000004,14.625000000000004,16.125000000000004,12.750000000000002,11.250000000000002,12.750000000000002,12.375,10.125000000000002,11.625,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,11.250000000000002,10.125000000000002,9.0,10.125000000000002,16.5,14.25,12.375000000000004,13.125,10.875,9.0,11.25,10.125000000000002,7.875,10.125000000000002,14.25,12.750000000000002,11.250000000000002,10.875,9.375,7.875,9.75,8.25,6.749999999999999,10.125000000000002,13.5,11.625,10.125000000000002,10.5,8.25,6.749999999999999,9.0,7.875,5.625,7.875,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,6.749999999999999,5.625,4.5,5.625,12.0,9.75,7.875,8.625,6.375000000000001,4.5,6.749999999999999,4.5,3.3749999999999996,5.625,10.125000000000002,8.25,6.749999999999999,8.25,4.875,3.3749999999999996,4.875,2.25,2.25,3.75,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,0.0,1.125,2.25,9.75,8.25,6.749999999999999,6.0,4.875,3.3749999999999996,2.625,2.25,2.25,4.5
19.12500000000001,17.250000000000007,15.750000000000007,17.250000000000007,13.875000000000002,12.375000000000004,13.875000000000002,11.25,9.0,10.499999999999998,16.875000000000007,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,9.0,17.625,15.375,13.500000000000004,14.249999999999998,11.999999999999996,10.125000000000002,11.25,9.0,6.749999999999999,9.0,15.375,13.875000000000002,12.375000000000004,11.999999999999996,10.499999999999998,9.0,8.625,7.125,5.625,9.0,14.625000000000004,12.750000000000002,11.250000000000002,11.625,9.375,7.875,9.0,6.749999999999999,4.5,6.749999999999999,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,4.5,13.125,10.875,9.0,9.75,7.5,5.625,6.749999999999999,4.5,2.25,4.5,11.25,9.375,7.875,9.375,6.0,4.5,6.0,3.3749999999999996,1.125,2.625,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,0.0,1.125,10.875,9.375,7.875,7.125,6.0,4.5,3.75,2.625,1.125,3.3749999999999996
20.250000000000007,18.375000000000007,16.875000000000007,18.375000000000007,15.000000000000002,13.500000000000004,15.000000000000002,12.375,10.125000000000002,11.625,18.000000000000007,16.875000000000007,15.750000000000007,14.625000000000004,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,10.125000000000002,18.75,16.5,14.625000000000004,15.374999999999998,13.125,11.250000000000002,12.375,10.125000000000002,7.875,10.125000000000002,16.5,15.000000000000002,13.500000000000004,13.125,11.625,10.125000000000002,9.75,8.25,6.749999999999999,10.125000000000002,15.750000000000004,13.875000000000002,12.375000000000004,12.75,10.499999999999998,9.0,10.125000000000002,7.875,5.625,7.875,13.500000000000004,12.375000000000004,11.250000000000002,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,5.625,14.249999999999998,11.999999999999996,10.125000000000002,10.875000000000002,8.625,6.749999999999999,7.875,5.625,3.3749999999999996,4.5,12.375,10.499999999999998,9.0,10.499999999999998,7.125,5.625,7.125,4.5,2.25,2.25,10.125000000000002,9.0,7.875,6.749999999999999,5.625,4.5,3.3749999999999996,2.25,1.125,0.0,11.999999999999996,10.499999999999998,9.0,8.25,7.125,5.625,4.875,3.75,2.25,2.25
16.875000000000004,15.000000000000002,13.500000000000004,15.000000000000002,16.125000000000004,16.875000000000007,18.375000000000007,19.875000000000004,20.250000000000007,21.75000000000001,14.625000000000004,13.500000000000004,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,16.875000000000007,18.000000000000007,19.12500000000001,20.250000000000007,14.625,12.374999999999998,11.250000000000002,13.5,14.625,14.625000000000004,16.875000000000004,19.125000000000007,18.000000000000007,20.250000000000007,12.374999999999998,10.875,10.125000000000002,14.625,13.125,13.500000000000004,18.375000000000004,18.000000000000004,16.875000000000007,20.250000000000004,11.25,9.375,9.0,11.25,11.625,12.375000000000004,14.625000000000004,15.750000000000004,15.750000000000007,18.000000000000004,9.0,7.875000000000001,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,6.749999999999999,6.375000000000001,6.749999999999999,9.0,9.75,10.125000000000002,12.375,14.249999999999998,13.500000000000004,15.750000000000004,4.5,4.875,5.625,7.125,8.25,9.0,10.499999999999998,11.999999999999996,12.375000000000004,13.875000000000002,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,0.0,7.125,5.625,7.125,10.499999999999998,9.0,10.499999999999998,12.375,12.375000000000004,14.625000000000004
15.000000000000002,13.125000000000002,11.625,13.125000000000002,14.250000000000004,15.000000000000004,16.500000000000004,18.000000000000004,18.375000000000007,19.87500000000001,12.750000000000004,11.625,10.5,11.625,12.750000000000004,13.875000000000004,15.000000000000004,16.125000000000007,17.250000000000007,18.375000000000007,12.750000000000002,10.5,9.375,11.625,12.75,12.750000000000004,15.000000000000002,17.250000000000004,16.125000000000007,18.375000000000007,10.5,9.0,8.25,12.75,11.25,11.625,16.5,16.125000000000004,15.000000000000004,18.375000000000004,9.375,7.5,7.125,9.375,9.75,10.5,12.750000000000002,13.875000000000002,13.875000000000004,16.125000000000004,7.125,6.0,6.0,7.125,8.25,9.375,10.5,11.625,12.750000000000004,13.875000000000004,6.749999999999999,4.5,4.875,7.125,7.875000000000001,8.25,10.5,12.375,11.625,13.875000000000002,4.875,3.0,3.75,5.25,6.375000000000001,7.125,8.625,10.125000000000002,10.5,12.0,2.625,1.5,2.625,3.75,4.875,6.0,7.125,8.25,9.375,10.5,1.5,0.0,3.75,5.25,8.625,7.125,8.625,10.5,10.5,12.750000000000002
13.5,11.625,10.125000000000002,11.625,12.750000000000002,13.500000000000004,15.000000000000002,16.5,16.875000000000007,18.375000000000007,11.250000000000002,10.125000000000002,9.0,10.125000000000002,11.250000000000002,12.375000000000004,13.500000000000004,14.625000000000004,15.750000000000007,16.875000000000007,12.0,9.75,7.875,10.125000000000002,11.25,11.250000000000002,13.5,15.750000000000002,14.625000000000004,16.875000000000004,9.75,8.25,6.749999999999999,11.25,9.75,10.125000000000002,15.0,14.625000000000002,13.500000000000004,16.875000000000004,9.0,7.125,5.625,7.875,8.25,9.0,11.25,12.375,12.375000000000004,14.625000000000004,6.749999999999999,5.625,4.5,5.625,6.749999999999999,7.875,9.0,10.125000000000002,11.250000000000002,12.375000000000004,7.5,5.25,3.3749999999999996,5.625,6.375000000000001,6.749999999999999,9.0,10.875000000000002,10.125000000000002,12.375,5.625,3.75,2.25,3.75,4.875,5.625,7.125,8.625,9.0,10.499999999999998,3.3749999999999996,2.25,1.125,2.25,3.3749999999999996,4.5,5.625,6.749999999999999,7.875,9.0,3.0,1.5,0.0,3.75,7.125,5.625,7.125,9.0,9.0,11.25
15.000000000000002,13.125000000000002,11.625,13.125000000000002,14.250000000000004,15.000000000000004,16.500000000000004,18.000000000000004,18.375000000000007,19.87500000000001,12.750000000000004,11.625,10.5,11.625,12.750000000000004,13.875000000000004,15.000000000000004,16.125000000000007,17.250000000000007,18.375000000000007,13.499999999999998,11.25,9.375,11.625,12.75,12.750000000000004,15.000000000000002,17.250000000000004,16.125000000000007,18.375000000000007,11.25,9.75,8.25,12.75,11.25,11.625,16.5,16.125000000000004,15.000000000000004,18.375000000000004,10.5,8.625,7.125,9.375,9.75,10.5,12.750000000000002,13.875000000000002,13.875000000000004,16.125000000000004,8.25,7.125,6.0,7.125,8.25,9.375,10.5,11.625,12.750000000000004,13.875000000000004,9.0,6.75,4.875,7.125,7.875000000000001,8.25,10.5,12.375,11.625,13.875000000000002,7.125,5.25,3.75,5.25,6.375000000000001,7.125,8.625,10.125000000000002,10.5,12.0,4.875,3.75,2.625,3.75,4.875,6.0,7.125,8.25,9.375,10.5,4.5,3.0,1.5,0.0,8.625,7.125,8.625,10.5,10.5,12.750000000000002
